usprivacy;1---;demo.guru99.com;/;Thu Jun 27 12:15:25 IST 2024;false
_pbjs_userid_consent_data;6683316680106290;demo.guru99.com;/;Mon Jul 03 12:15:25 IST 2023;false
_cc_id;efe8c2c978852ab0cd99dc0d34990c40;.guru99.com;/;Wed Feb 28 12:15:24 IST 2024;false
__gpi;UID=00000c0ee88663e0:T=1685774722:RT=1685774722:S=ALNI_MYNcF4KO4v-jac2dppKEbvTWF9zMA;.guru99.com;/;Thu Jun 27 12:15:22 IST 2024;false
_gat_gtag_UA_1248015_24;1;.guru99.com;/;Sat Jun 03 12:16:24 IST 2023;false
__gads;ID=540defebaa71b4cc:T=1685774722:RT=1685774722:S=ALNI_MZdJJoC294UyjbtVID7q9eu-0jBuQ;.guru99.com;/;Thu Jun 27 12:15:22 IST 2024;false
_gid;GA1.2.1607583520.1685774724;.guru99.com;/;Sun Jun 04 12:15:25 IST 2023;false
_sharedid;14802858-e576-46a4-a439-719b32347a49;.guru99.com;/;Sun Jun 02 12:15:23 IST 2024;false
geo-location;{"country":"IN","region":"MH"};demo.guru99.com;/;Sun Jun 04 12:15:25 IST 2023;false
lotame_domain_check;guru99.com;.guru99.com;/;Sat Jun 03 12:15:34 IST 2023;false
panoramaId_expiry;1685861123396;.guru99.com;/;Sun Jun 04 12:15:23 IST 2023;false
_ga;GA1.2.1172611054.1685774724;.guru99.com;/;Sun Jul 07 12:15:25 IST 2024;false
cto_bundle;YFIly19JdkJjWUdUU3clMkJXMlBYZEFqZW5OM2hjcGtKT0xJNmZhUXBmMWxCTFh4M24lMkZxYUlCeEFpQlhqanVqZTRsenR3SHdTcXlPVll1dll2MzYxNmVmTkdxV2tGTEMzTTROOExzemVzbEpSdEp4WXElMkZPWHNHeEtpR2RXd1lIb1lGb1FIbWJCWktld1pMVU1pdjRiaThHRkUyaEElM0QlM0Q;.guru99.com;/;Thu Jun 27 12:15:24 IST 2024;false
Selenium;abc123;demo.guru99.com;/test/cookie;null;false
